Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
14-18,Dry,Extreme Dry,Yes,Hyperpigmentation,General,licorice extract + alpha arbutin + vitamin c,10% + 1% + 0.5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation",['licorice extract  alpha arbutin  vitamin c'],licorice extract  alpha arbutin  vitamin c
14-18,Dry,Extreme Dry,Yes,Open Pores,General,azelaic acid + salicylic acid + niacinamide,10% + 2% + 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['azelaic acid  salicylic acid  niacinamide'],azelaic acid  salicylic acid  niacinamide
14-18,Dry,Extreme Dry,Yes,Redness,General,green tea extract + niacinamide + aloe vera,0.5% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin",['green tea extract  niacinamide  aloe vera'],green tea extract  niacinamide  aloe vera
14-18,Dry,Extreme Dry,Yes,Sun Tan,General,niacinamide + aloe vera + vitamin c,3% + 0.5% + 1%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation",['niacinamide  aloe vera  vitamin c'],niacinamide  aloe vera  vitamin c
14-18,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,niacinamide + willow bark extract + glycolic acid,10% + 3% + 0.5%,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin",['niacinamide  willow bark extract  glycolic acid'],niacinamide  willow bark extract  glycolic acid
14-18,Dry,Extreme Dry,Yes,Wrinkles,General,coenzyme q10 + peptides + retinol,3% + 1% + 0.5%,"Provides antioxidant protection and supports skin repair, Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles",['coenzyme q  peptides  retinol'],coenzyme q  peptides  retinol
14-18,Dry,Extreme Dry,No,Acne,Comedonal,green tea extract + salicylic acid + zinc pca,8% + 10% + 3%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Controls sebum production",['green tea extract  salicylic acid  zinc pca'],green tea extract  salicylic acid  zinc pca
14-18,Dry,Extreme Dry,No,Acne,Inflammatory,zinc pca + niacinamide + benzoyl peroxide,8% + 10% + 2%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['zinc pca  niacinamide  benzoyl peroxide'],zinc pca  niacinamide  benzoyl peroxide
14-18,Dry,Extreme Dry,No,Acne,Nodular,niacinamide + benzoyl peroxide + green tea extract,2% + 3% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['niacinamide  benzoyl peroxide  green tea extract'],niacinamide  benzoyl peroxide  green tea extract
14-18,Dry,Extreme Dry,No,Acne,Cystic,zinc pca + benzoyl peroxide + salicylic acid,8% + 0.5% + 2%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['zinc pca  benzoyl peroxide  salicylic acid'],zinc pca  benzoyl peroxide  salicylic acid
14-18,Dry,Extreme Dry,No,Dark Circles,Pigmented,vitamin k + licorice extract + vitamin c,3% + 5% + 10%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['vitamin k  licorice extract  vitamin c'],vitamin k  licorice extract  vitamin c
14-18,Dry,Extreme Dry,No,Dark Circles,Vascular,licorice extract + caffeine + niacinamide,3% + 5% + 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum",['licorice extract  caffeine  niacinamide'],licorice extract  caffeine  niacinamide
14-18,Dry,Extreme Dry,No,Dark Spots,General,niacinamide + kojic acid + vitamin c,3% + 1% + 10%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation",['niacinamide  kojic acid  vitamin c'],niacinamide  kojic acid  vitamin c
14-18,Dry,Extreme Dry,No,Dullness,General,green tea extract + niacinamide + hyaluronic acid,5% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Hydrates and plumps the skin",['green tea extract  niacinamide  hyaluronic acid'],green tea extract  niacinamide  hyaluronic acid
14-18,Dry,Extreme Dry,No,Hyperpigmentation,General,vitamin c + niacinamide + alpha arbutin,3% + 8% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots",['vitamin c  niacinamide  alpha arbutin'],vitamin c  niacinamide  alpha arbutin
14-18,Dry,Extreme Dry,No,Open Pores,General,clay + azelaic acid + salicylic acid,2% + 10% + 3%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['clay  azelaic acid  salicylic acid'],clay  azelaic acid  salicylic acid
14-18,Dry,Extreme Dry,No,Redness,General,centella asiatica + niacinamide + aloe vera,0.5% + 3% + 10%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin",['centella asiatica  niacinamide  aloe vera'],centella asiatica  niacinamide  aloe vera
14-18,Dry,Extreme Dry,No,Sun Tan,General,licorice extract + vitamin c + niacinamide,2% + 3% + 8%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['licorice extract  vitamin c  niacinamide'],licorice extract  vitamin c  niacinamide
14-18,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,willow bark extract + salicylic acid + glycolic acid,1% + 2% + 10%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin",['willow bark extract  salicylic acid  glycolic acid'],willow bark extract  salicylic acid  glycolic acid
14-18,Dry,Extreme Dry,No,Wrinkles,General,retinol + niacinamide + peptides,0.5% + 1% + 3%,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness",['retinol  niacinamide  peptides'],retinol  niacinamide  peptides
14-18,Oily,Oily to Normal,Yes,Acne,Comedonal,benzoyl peroxide + zinc pca + salicylic acid,10% + 3% + 0.5%,"Kills acne-causing bacteria, Controls sebum production, Unclogs pores and removes excess oil",['benzoyl peroxide  zinc pca  salicylic acid'],benzoyl peroxide  zinc pca  salicylic acid
14-18,Oily,Oily to Normal,Yes,Acne,Inflammatory,azelaic acid + benzoyl peroxide + zinc pca,1% + 10% + 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production",['azelaic acid  benzoyl peroxide  zinc pca'],azelaic acid  benzoyl peroxide  zinc pca
14-18,Oily,Oily to Normal,Yes,Acne,Nodular,green tea extract + azelaic acid + salicylic acid,5% + 1% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['green tea extract  azelaic acid  salicylic acid'],green tea extract  azelaic acid  salicylic acid
14-18,Oily,Oily to Normal,Yes,Acne,Cystic,niacinamide + benzoyl peroxide + zinc pca,2% + 10% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production",['niacinamide  benzoyl peroxide  zinc pca'],niacinamide  benzoyl peroxide  zinc pca
14-18,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,hyaluronic acid + vitamin c + licorice extract,1% + 8% + 2%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone",['hyaluronic acid  vitamin c  licorice extract'],hyaluronic acid  vitamin c  licorice extract
14-18,Oily,Oily to Normal,Yes,Dark Circles,Vascular,hyaluronic acid + vitamin k + vitamin c,2% + 8% + 5%,"Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation",['hyaluronic acid  vitamin k  vitamin c'],hyaluronic acid  vitamin k  vitamin c
14-18,Oily,Oily to Normal,Yes,Dark Spots,General,vitamin c + alpha arbutin + niacinamide,0.5% + 10% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum",['vitamin c  alpha arbutin  niacinamide'],vitamin c  alpha arbutin  niacinamide
14-18,Oily,Oily to Normal,Yes,Dullness,General,green tea extract + niacinamide + lactic acid,2% + 8% + 3%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance",['green tea extract  niacinamide  lactic acid'],green tea extract  niacinamide  lactic acid
14-18,Oily,Oily to Normal,Yes,Hyperpigmentation,General,vitamin c + niacinamide + tranexamic acid,1% + 0.5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation",['vitamin c  niacinamide  tranexamic acid'],vitamin c  niacinamide  tranexamic acid
14-18,Oily,Oily to Normal,Yes,Open Pores,General,green tea extract + salicylic acid + niacinamide,8% + 2% + 1%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['green tea extract  salicylic acid  niacinamide'],green tea extract  salicylic acid  niacinamide
14-18,Oily,Oily to Normal,Yes,Redness,General,niacinamide + aloe vera + chamomile extract,5% + 3% + 8%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Calms redness and irritation",['niacinamide  aloe vera  chamomile extract'],niacinamide  aloe vera  chamomile extract
14-18,Oily,Oily to Normal,Yes,Sun Tan,General,niacinamide + licorice extract + alpha arbutin,3% + 0.5% + 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots",['niacinamide  licorice extract  alpha arbutin'],niacinamide  licorice extract  alpha arbutin
14-18,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,zinc pca + salicylic acid + willow bark extract,8% + 5% + 3%,"Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores",['zinc pca  salicylic acid  willow bark extract'],zinc pca  salicylic acid  willow bark extract
14-18,Oily,Oily to Normal,Yes,Wrinkles,General,coenzyme q10 + hyaluronic acid + niacinamide,5% + 2% + 10%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Reduces inflammation and regulates sebum",['coenzyme q  hyaluronic acid  niacinamide'],coenzyme q  hyaluronic acid  niacinamide
14-18,Oily,Oily to Normal,No,Acne,Comedonal,niacinamide + zinc pca + azelaic acid,8% + 0.5% + 1%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture",['niacinamide  zinc pca  azelaic acid'],niacinamide  zinc pca  azelaic acid
14-18,Oily,Oily to Normal,No,Acne,Inflammatory,green tea extract + benzoyl peroxide + niacinamide,2% + 10% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces inflammation and regulates sebum",['green tea extract  benzoyl peroxide  niacinamide'],green tea extract  benzoyl peroxide  niacinamide
14-18,Oily,Oily to Normal,No,Acne,Nodular,green tea extract + azelaic acid + salicylic acid,5% + 3% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['green tea extract  azelaic acid  salicylic acid'],green tea extract  azelaic acid  salicylic acid
14-18,Oily,Oily to Normal,No,Acne,Cystic,niacinamide + benzoyl peroxide + salicylic acid,3% + 0.5% + 1%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['niacinamide  benzoyl peroxide  salicylic acid'],niacinamide  benzoyl peroxide  salicylic acid
14-18,Oily,Oily to Normal,No,Dark Circles,Pigmented,caffeine + licorice extract + hyaluronic acid,0.5% + 1% + 5%,"Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Hydrates and plumps the skin",['caffeine  licorice extract  hyaluronic acid'],caffeine  licorice extract  hyaluronic acid
14-18,Oily,Oily to Normal,No,Dark Circles,Vascular,hyaluronic acid + niacinamide + vitamin c,0.5% + 3% + 1%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['hyaluronic acid  niacinamide  vitamin c'],hyaluronic acid  niacinamide  vitamin c
14-18,Oily,Oily to Normal,No,Dark Spots,General,alpha arbutin + niacinamide + licorice extract,1% + 8% + 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['alpha arbutin  niacinamide  licorice extract'],alpha arbutin  niacinamide  licorice extract
14-18,Oily,Oily to Normal,No,Dullness,General,lactic acid + niacinamide + hyaluronic acid,8% + 5% + 1%,"Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum, Hydrates and plumps the skin",['lactic acid  niacinamide  hyaluronic acid'],lactic acid  niacinamide  hyaluronic acid
14-18,Oily,Oily to Normal,No,Hyperpigmentation,General,niacinamide + vitamin c + tranexamic acid,1% + 8% + 5%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation",['niacinamide  vitamin c  tranexamic acid'],niacinamide  vitamin c  tranexamic acid
14-18,Oily,Oily to Normal,No,Open Pores,General,azelaic acid + salicylic acid + clay,3% + 10% + 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores",['azelaic acid  salicylic acid  clay'],azelaic acid  salicylic acid  clay
14-18,Oily,Oily to Normal,No,Redness,General,niacinamide + centella asiatica + green tea extract,0.5% + 2% + 10%,"Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits",['niacinamide  centella asiatica  green tea extract'],niacinamide  centella asiatica  green tea extract
14-18,Oily,Oily to Normal,No,Sun Tan,General,aloe vera + vitamin c + alpha arbutin,2% + 10% + 8%,"Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots",['aloe vera  vitamin c  alpha arbutin'],aloe vera  vitamin c  alpha arbutin
14-18,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,zinc pca + willow bark extract + glycolic acid,0.5% + 8% + 1%,"Controls sebum production, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin",['zinc pca  willow bark extract  glycolic acid'],zinc pca  willow bark extract  glycolic acid
14-18,Oily,Oily to Normal,No,Wrinkles,General,peptides + coenzyme q10 + retinol,3% + 10% + 8%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles",['peptides  coenzyme q  retinol'],peptides  coenzyme q  retinol
14-18,Oily,Extreme Oily,Yes,Acne,Comedonal,salicylic acid + zinc pca + niacinamide,5% + 3% + 2%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces inflammation and regulates sebum",['salicylic acid  zinc pca  niacinamide'],salicylic acid  zinc pca  niacinamide
14-18,Oily,Extreme Oily,Yes,Acne,Inflammatory,green tea extract + benzoyl peroxide + niacinamide,10% + 1% + 8%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces inflammation and regulates sebum",['green tea extract  benzoyl peroxide  niacinamide'],green tea extract  benzoyl peroxide  niacinamide
14-18,Oily,Extreme Oily,Yes,Acne,Nodular,benzoyl peroxide + salicylic acid + azelaic acid,5% + 2% + 8%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces acne and improves skin texture",['benzoyl peroxide  salicylic acid  azelaic acid'],benzoyl peroxide  salicylic acid  azelaic acid
